,id,contractId,contractType,stockSymbol,buyerMemberId,sellerMemberId,contractQuantity,contractRate,contractAmount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,tradeTime,securityName
256,,2021053105001104,,SHL,44,48,500,242.0,121000.0,2021-05-31,30127306,147,Dynamic Money Managers Securities Pvt. Ltd.,Trishakti Securities Public Limited,2021-05-31T13:56:10.131573,Soaltee Hotel Limited
257,,2021053105001103,,SHL,10,48,100,242.0,24200.0,2021-05-31,30127304,147,Pragyan Securities (PVT) Ltd.,Trishakti Securities Public Limited,2021-05-31T13:56:10.131066,Soaltee Hotel Limited
258,,2021053105001102,,SHL,57,48,200,242.0,48400.0,2021-05-31,30127302,147,Aryatara Investment & Securities,Trishakti Securities Public Limited,2021-05-31T13:56:10.130513,Soaltee Hotel Limited
259,,2021053105001101,,SHL,45,48,200,242.0,48400.0,2021-05-31,30127300,147,Imperial Securities Company Pvt. Ltd.,Trishakti Securities Public Limited,2021-05-31T13:56:10.129991,Soaltee Hotel Limited
260,,2021053105001100,,SHL,28,48,100,242.0,24200.0,2021-05-31,30127298,147,Shree Krishna Securities Ltd.,Trishakti Securities Public Limited,2021-05-31T13:56:10.129293,Soaltee Hotel Limited
261,,2021053105001099,,SHL,57,48,100,242.0,24200.0,2021-05-31,30127296,147,Aryatara Investment & Securities,Trishakti Securities Public Limited,2021-05-31T13:56:10.128749,Soaltee Hotel Limited
262,,2021053105001098,,SHL,6,48,100,242.0,24200.0,2021-05-31,30127294,147,Agrawal Securities (PVT) Ltd.,Trishakti Securities Public Limited,2021-05-31T13:56:10.1282,Soaltee Hotel Limited
263,,2021053105001097,,SHL,49,48,100,242.0,24200.0,2021-05-31,30127292,147,Online Securities Pvt. Ltd.,Trishakti Securities Public Limited,2021-05-31T13:56:10.127688,Soaltee Hotel Limited
264,,2021053105001096,,SHL,1,48,100,243.0,24300.0,2021-05-31,30127290,147,Kumari Securities Private Limited,Trishakti Securities Public Limited,2021-05-31T13:56:10.127154,Soaltee Hotel Limited
265,,2021053105001095,,SHL,42,48,391,243.0,95013.0,2021-05-31,30127288,147,Sani Securities Company Ltd.,Trishakti Securities Public Limited,2021-05-31T13:56:10.1266,Soaltee Hotel Limited
