date,adjclose,open,high,low,volume,other,RSI,stoch,stochsignal,rsidata,rsidata_k,rsidata_d,macd,macddiff,macdsignal
2018-06-03,1702.0,1757.07,1756.5,1701.96,126404000.0,ok,47.19971730065567,0.03915043554855984,38.84436537008373,0.0,0.20627652541325006,0.34322263572133305,6.377491792049113,-11.901212659738253,18.278704451787366
2018-06-04,1670.87,1702.0,1713.73,1659.69,95833504.0,ok,43.05501287500959,7.740238161174074,18.814357851211057,0.0,0.059354216015633295,0.20131213357693525,-3.0677913135123163,-17.077196612239746,14.00940529872743
2018-06-06,1705.85,1670.87,1733.3,1672.12,46112500.0,ok,48.52488143932193,31.9579063971198,13.245764997947488,0.2342837210003018,0.07809457366676727,0.11457510503188355,-5.635448983690367,-15.715883425934239,10.080434442243872
2018-06-07,1670.31,1705.85,1709.22,1664.84,70058600.0,ok,43.9099367058829,7.352533924120664,15.683559494138189,0.03661783348426988,0.09030051816152389,0.07591643594797481,-11.220361719030734,-17.040636929019684,5.820275209988951
2018-06-10,1626.35,1670.31,1672.24,1625.39,67240304.0,ok,38.97266457826457,0.5370929842227867,13.282511101821093,0.0,0.09030051816152389,0.08623186999660502,-19.68893443188267,-20.407367713497298,0.7184332816146264
2018-06-11,1649.24,1626.35,1657.84,1613.17,72090800.0,ok,42.592318534498304,18.88877251780474,8.926133142049407,0.13196185737544502,0.05619323028657163,0.07893142220320647,-22.514270272079557,-18.586162842955346,-3.9281074291242106
2018-06-12,1648.08,1649.24,1654.65,1624.75,53088900.0,ok,42.45489305014854,18.281315458734735,12.569060320254096,0.12695173143943259,0.0863045296049592,0.07759942601768491,-24.040569858583922,-16.089969943567766,-7.950599915016154
2018-06-13,1653.33,1648.08,1656.17,1635.02,43900600.0,ok,43.34584394138308,21.03058232090482,19.40022343248144,0.1932421621939644,0.150718583669614,0.09773878118704826,-23.91886167496773,-12.774609407961261,-11.144252267006468
2018-06-14,1666.7,1648.08,1667.38,1648.59,55247000.0,ok,45.65351351694926,28.032048596564707,22.447982125401428,0.2952135247620071,0.20513580613180138,0.1473863064687915,-21.758573012838724,-8.491456596665802,-13.267116416172922
2018-06-17,1645.94,1666.7,1673.77,1642.34,60265100.0,ok,42.74226043495523,17.160661918726422,22.07443094539866,0.16657099868523575,0.21834222854706908,0.19139887278282816,-22.034458060926227,-7.013873315802645,-15.020584745123582
2018-06-18,1654.64,1645.94,1655.69,1630.78,47697000.0,ok,44.344008705940524,21.716589861751164,22.303100125680775,0.2633449606229754,0.2417098280234061,0.22172928756742552,-20.71446604328503,-4.555105038529156,-16.159361004755873
2018-06-19,1640.35,1654.64,1659.67,1638.52,29085800.0,ok,42.253186099953425,14.233347297863338,17.70353302611365,0.16083661564349705,0.19691752498390278,0.218989860518126,-20.878188449773006,-3.7750619560137046,-17.1031264937593
2018-06-20,1630.24,1640.35,1641.83,1626.96,49016500.0,ok,40.7879170583709,10.525991243756522,15.491976134457017,0.10619965197674074,0.17679374274773776,0.20514036525168222,-21.599201756733237,-3.5968602103791483,-18.00234154635409
2018-06-21,1623.69,1630.24,1640.92,1618.31,36002700.0,ok,39.824351102640044,7.339705574548236,10.699681372056041,0.0891611378556173,0.11873246849195174,0.16414791207453075,-22.29214424656402,-3.431842160167946,-18.860302086396075
2018-06-24,1621.29,1623.69,1637.84,1621.08,31354500.0,ok,39.456541083274494,6.759344043952301,8.208346954085696,0.0506559379930537,0.08200557594180395,0.12584392906049782,-22.487458949494794,-2.9017254904789738,-19.58573345901582
2018-06-25,1607.54,1621.29,1621.44,1607.12,38050500.0,ok,37.32937358153339,0.3328578221588782,4.810635813553148,0.0,0.04660569194955703,0.0824479121277709,-23.595023214496678,-3.207431804384683,-20.387591410111995
2018-06-26,1575.37,1621.29,1607.75,1573.71,36917000.0,ok,32.86510107204941,1.225001844882189,2.772401236997799,0.0,0.01688531266435127,0.048498860185237413,-27.35259793562136,-5.572005220407494,-21.780592715213867
2018-06-27,1579.81,1575.37,1598.27,1559.48,21273200.0,ok,34.037601543802396,17.788082946889432,6.448647537976843,0.09168459938282551,0.03056153312760854,0.031350845913838944,-28.781721250581086,-5.600902828293773,-23.180818422287313
2018-06-28,1579.32,1579.81,1586.52,1575.05,19564300.0,ok,33.967096383628245,17.359349024411518,12.12414460539439,0.08617139276097602,0.05928533071460055,0.03557739216885345,-29.113541783131268,-4.746178688675162,-24.367363094456106
2018-07-01,1553.58,1579.32,1579.16,1552.7,28871000.0,ok,30.404277193855535,0.7268522342445546,11.958094735181845,0.0,0.05928533071460055,0.04971073151893655,-31.484095687533,-5.693386074461515,-25.790709613071485
2018-07-02,1548.34,1553.58,1569.81,1538.81,25782600.0,ok,29.720831913767157,7.061351511558958,8.382517590071686,0.0,0.028723797586992044,0.049098153005397716,-32.92783429582278,-5.709699746201032,-27.218134549621745
2018-07-03,1538.8,1548.34,1553.59,1532.37,23620800.0,ok,28.46624426396758,4.5473833097595895,4.111862351854377,0.0,3.700743415417188e-17,0.029336376100530876,-34.17294162264443,-5.5638456584181455,-28.609095964226285
2018-07-04,1551.56,1538.8,1558.22,1534.96,44701300.0,ok,32.566426896725076,13.571428571428601,8.393387797582392,0.25823425254493954,0.08607808418164654,0.03826729392287954,-32.77220245050512,-3.330485189023065,-29.441717261482054
2018-07-05,1637.46,1551.56,1638.17,1551.55,92284896.0,ok,52.36215416564076,82.55302435192458,33.55727874437093,1.0,0.4194114175149799,0.16849650056554213,-21.450155554939784,6.393249365233817,-27.8434049201736
2018-07-08,1617.94,1637.46,1660.31,1615.87,137116000.0,ok,48.85258224308938,66.88291386587473,54.33578892974265,0.85313085222565,0.7037883682568632,0.40309262331782997,-15.261822996155388,10.065265539214572,-25.32708853536996
2018-07-09,1596.05,1617.94,1617.46,1590.99,40898900.0,ok,45.19434887063972,49.77333124902301,66.40308982227411,0.7000404954448227,0.8510571158901575,0.6580856338873335,-13.038856708695675,9.830585461339428,-22.869442170035104
2018-07-10,1595.52,1596.05,1615.91,1591.6,51273500.0,ok,45.106277316560195,49.359074566202956,55.33843989370024,0.6963548624456223,0.7498420700386984,0.768229184728573,-11.238932936903666,9.30440738650515,-20.543340323408817
2018-07-11,1623.97,1595.52,1671.79,1597.6,109227000.0,ok,50.664111257316954,65.70076029264101,54.94438870262233,0.9289400188019243,0.7751117922307899,0.7920036593865486,-6.555925565370671,11.189931806430518,-17.74585737180119
2018-07-12,1587.91,1623.97,1638.49,1576.9,79021800.0,ok,44.512448710993255,39.83646535647695,51.63210007177364,0.6715042244908251,0.7655997019127906,0.7635178547274264,-7.16308280072144,8.4662196568638,-15.62930245758524
2018-07-15,1594.46,1623.97,1598.33,1585.19,29116000.0,ok,45.799788861414,44.5345000717258,50.0239085736146,0.7253770485731841,0.7752737639553112,0.771995086032964,-6.67820180785975,7.1608805197803935,-13.839082327640144
2018-07-16,1607.08,1594.46,1607.28,1586.06,14160900.0,ok,48.289118634038765,53.58628604217472,45.98575049012584,0.829550933680211,0.7421440689147402,0.761005844927614,-4.7758593484031735,7.250578383389577,-12.02643773179275
2018-07-17,1593.76,1607.08,1610.02,1593.66,21251800.0,ok,45.89326667060037,44.03242002582131,47.38440204657396,0.7292889234325645,0.7614056352286532,0.7596078226995683,-4.822737170299888,5.76296044919429,-10.585697619494178
2018-07-18,1577.84,1593.76,1592.1,1577.79,23726700.0,ok,43.13841388370286,32.613685267536944,43.41079711184434,0.6140033871950589,0.7242810814359449,0.7426102618597795,-6.504955487406278,3.264593705670322,-9.7695491930766
