date,adjclose,open,high,low,volume,other,RSI
1595376000,608,615,626,606,22654,ok,53.67021644937815
1595462400,616,608,619,601,28785,ok,55.016168504599705
1595721600,621,620,628,608,32356,ok,55.87890915365463
1595808000,625,625,637,618,63042,ok,56.59608782213491
1595894400,618,625,630,616,34339,ok,54.91385618526924
1595980800,595,612,617,592,49064,ok,49.68791369979196
1596067200,605,586,610,586,37889,ok,51.8341557905931
1596326400,579,605,605,579,47024,ok,46.30348177623615
1596412800,583,560,594,560,13848,ok,47.23624001658298
1596585600,572,574,579,565,20880,ok,44.92508410434992
1596672000,570,579,579,559,10623,ok,44.49877561704487
1596931200,575,560,578,560,15901,ok,45.88140656248597
1597017600,600,585,601,573,24350,ok,52.28226493770382
1597104000,593,597,605,588,21303,ok,50.48186166119856
1597190400,595,585,600,585,20209,ok,51.00104276550982
1597276800,584,584,588,581,7617,ok,48.01899233163559
1597536000,575,573,585,562,15446,ok,45.66629420667647
1597622400,576,575,590,570,14509,ok,45.98297809944943
1597708800,600,587,600,574,21875,ok,53.054976217998906
1597795200,582,588,590,575,21700,ok,47.98122912487011
1597881600,599,589,599,588,25565,ok,52.59240527067543
1598140800,631,610,640,596,115729,ok,59.81370448140415
1598227200,650,638,656,635,113929,ok,63.38042458150802
1598313600,645,660,660,635,48845,ok,61.82532379179585
1598400000,647,635,658,635,74973,ok,62.224585181919714
1598486400,680,647,680,637,146662,ok,68.14472471113088
1598745600,686,680,697,662,115752,ok,69.09314218840083
1598832000,725,720,743,691,220413,ok,74.42350991773111
1599004800,741,761,761,725,155636,ok,76.23439639217733
1599091200,725,778,778,718,66644,ok,70.8334096537939
1599350400,704,761,761,702,110113,ok,64.38583374081267
1599436800,700,710,724,691,107004,ok,63.205676752856725
1599523200,739,702,739,699,114987,ok,69.14416683178125
1599609600,741,745,765,739,168644,ok,69.41676859379284
1599696000,744,750,765,741,94908,ok,69.84709352111916
1599955200,742,781,781,731,140387,ok,69.14855610468682
1600041600,731,745,750,728,83805,ok,65.2815137919869
1600128000,722,740,740,720,49499,ok,62.21580405050398
1600214400,722,720,729,715,41293,ok,62.21580405050398
1600300800,738,722,758,718,85922,ok,65.5513005400094
1600560000,734,750,760,725,61728,ok,64.02950899585599
1600646400,738,730,747,726,45902,ok,64.90687456299096
1600732800,723,740,740,717,34593,ok,59.08665247016764
1600819200,735,717,737,717,25181,ok,62.02072095508544
1600905600,736,735,745,729,37231,ok,62.263588380765576
1601164800,741,739,759,739,67890,ok,63.51972071608255
1601251200,735,745,751,735,16237,ok,60.89998251940856
1601337600,738,745,749,733,26831,ok,61.749440292002326
1601424000,731,729,740,726,21336,ok,58.55293811915705
1601510400,758,728,767,728,83583,ok,65.88794143770949
1601769600,830,760,833,760,333235,ok,77.3827155434822
1601856000,801,850,850,800,96288,ok,67.51447767619118
1601942400,797,820,820,790,70784,ok,66.259345504104
1602028800,798,798,816,780,124674,ok,66.42738155114455
1602115200,793,800,813,788,86047,ok,64.69254766744172
1602374400,774,786,799,773,47721,ok,58.44608085647888
1602460800,767,780,785,765,37487,ok,56.289638926917696
1602547200,767,779,779,763,35859,ok,56.289638926917696
1602633600,756,777,777,755,21703,ok,52.743044096579744
1602720000,758,771,800,758,89177,ok,53.31894239396628
1602979200,751,772,773,750,27709,ok,50.97735651477045
1603065600,752,751,766,745,10947,ok,51.30635017993326
1603152000,757,789,789,752,25685,ok,53.00459724561191
1603238400,760,755,763,755,14337,ok,54.04031523517179
1603324800,764,760,765,759,29493,ok,55.45011096367673
1603843200,770,770,778,756,53224,ok,57.55339558069824
1603929600,750,756,766,741,26199,ok,49.21286799970868
1604188800,743,760,760,740,27209,ok,46.66394480821585
1604275200,745,748,750,740,13892,ok,47.500604820441886
1604361600,739,750,750,730,42630,ok,45.20940558302564
1604448000,734,740,741,733,15817,ok,43.333583026185394
1604534400,728,732,740,728,31267,ok,41.12827440670305
1604793600,768,735,782,735,135628,ok,56.88235948600321
1604880000,770,780,790,761,58150,ok,57.49482677559633
1604966400,781,775,800,774,117262,ok,60.79345840862732
1605052800,843,795,844,788,181162,ok,73.34809160454365
1605139200,832,870,870,828,161379,ok,69.11916951502057
1605657600,909,832,915,832,254631,ok,78.47476582122674
1605744000,925,935,951,905,172831,ok,79.84141335763493
1606003200,900,920,940,890,227401,ok,72.13488643989308
1606089600,913,906,940,890,146216,ok,73.5638361521712
1606176000,980,930,994,915,156494,ok,79.42109612362647
1606262400,1076,1029,1078,990,128930,ok,84.66415639495825
1606348800,1114,1130,1184,1066,255508,ok,86.16657008626207
1606608000,1090,1120,1140,1085,217422,ok,80.78365314385117
1606694400,1131,1140,1144,1049,124890,ok,82.7645374626252
1606780800,1209,1148,1225,1091,176124,ok,85.76987027714215
1606867200,1329,1209,1329,1209,88071,ok,88.95943976885522
1606953600,1319,1395,1395,1261,180864,ok,87.20527888620315
1607212800,1188,1319,1319,1188,230711,ok,68.22587813337073
1607299200,1260,1150,1280,1134,200247,ok,71.85193159315014
1607385600,1228,1280,1300,1193,128159,ok,68.13054593104434
1607472000,1179,1252,1252,1171,90439,ok,62.7695436888796
1607558400,1212,1185,1228,1158,91137,ok,64.77956813772117
1607817600,1300,1235,1300,1210,106869,ok,69.50729472535191
1607904000,1372,1326,1388,1315,143723,ok,72.73236814094966
1607990400,1325,1410,1410,1322,126544,ok,67.69881388883883
1608076800,1326,1315,1351,1301,77309,ok,67.7499542964749
1608163200,1309,1330,1350,1301,104251,ok,65.84151164776512
1608422400,1233,1300,1310,1232,223493,ok,57.97853958201287
1608508800,1298,1208,1309,1180,134143,ok,62.1426444761647
1608595200,1337,1325,1355,1303,84940,ok,64.42079636463824
1608681600,1320,1363,1370,1292,89708,ok,62.65097579018977
1608768000,1315,1320,1337,1295,74154,ok,62.110502841464
1609027200,1314,1320,1341,1295,104528,ok,61.9953115497697
1609113600,1375,1332,1384,1295,157046,ok,66.12272174531996
1609200000,1453,1400,1497,1381,192533,ok,70.5299962232267
1609286400,1580,1480,1580,1462,224404,ok,76.0038886401487
1609372800,1541,1600,1620,1520,169268,ok,71.60536244352296
1609632000,1603,1550,1612,1521,119493,ok,74.16507039893581
1609718400,1560,1620,1640,1557,123483,ok,69.48647167369786
1609804800,1573,1560,1600,1540,57135,ok,70.10057133051068
1609891200,1570,1600,1600,1540,64120,ok,69.75170117736893
1609977600,1579,1593,1594,1570,87829,ok,70.23035534770148
1610236800,1570,1585,1600,1566,70598,ok,69.05358476116822
1610323200,1558,1648,1648,1546,58524,ok,67.43120952547187
1610409600,1570,1578,1588,1552,31125,ok,68.23492015888067
1610496000,1660,1570,1700,1555,99454,ok,73.51402204611178
1610841600,1655,1680,1710,1650,58166,ok,72.79026043468521
1610928000,1670,1720,1720,1645,51596,ok,73.62905758908992
1611014400,1638,1694,1694,1632,83341,ok,68.75929926962002
1611100800,1622,1640,1660,1600,46478,ok,66.39475932465584
1611187200,1626,1630,1647,1615,56208,ok,66.70303872535727
1611446400,1648,1645,1698,1633,62712,ok,68.41901223153124
1611532800,1640,1650,1671,1618,44305,ok,67.0655154310428
1611619200,1613,1640,1675,1608,56156,ok,62.56685493858575
1611705600,1590,1610,1625,1588,70639,ok,58.939900455599656
1611792000,1600,1630,1657,1589,86651,ok,60.02493558731462
