,adjclose,open,high,low,volume,other,RSI
965,217,218,222,217,2910,ok,33.21264533126873
966,217,216,221,216,1450,ok,33.21264533126873
967,222,218,222,218,4446,ok,39.33395622704039
968,220,219,225,219,2057,ok,37.8399731118872
969,180,186,189,180,1670,ok,20.81321624607618
970,177,177,177,177,333,ok,20.08331766418088
971,175,174,175,174,341,ok,19.59008362834044
972,178,178,178,178,330,ok,22.65844442442497
973,181,178,181,178,3301,ok,25.71128647925366
974,172,178,178,172,2028,ok,22.80328403141816
975,171,169,171,169,200,ok,22.49879448794317
976,174,174,177,174,266,ok,25.703932618092267
977,176,175,177,174,3917,ok,27.84628263905293
978,179,179,179,176,1545,ok,31.05762624589076
979,178,178,178,178,150,ok,30.569225930045945
980,180,177,180,177,120,ok,32.84384248150421
981,179,179,179,178,100,ok,32.274504111377695
982,175,178,178,175,524,ok,30.031941500217243
983,182,178,183,178,1317,ok,38.1334126770386
984,185,185,185,185,550,ok,41.27188311044596
985,173,182,182,173,2104,ok,33.870286301342134
986,173,173,173,173,1780,ok,33.870286301342134
987,172,176,176,172,1056,ok,33.29323391442368
988,171,171,174,171,3047,ok,32.693386262707065
989,170,170,170,170,84,ok,32.071109408349315
990,170,170,170,170,110,ok,32.071109408349315
991,171,171,171,171,67,ok,33.538227353741746
992,175,172,175,172,389,ok,39.19530686960578
993,173,174,174,173,300,ok,37.47760843499376
994,170,170,170,170,200,ok,34.9998712422878
995,170,170,170,170,75,ok,34.9998712422878
996,170,170,170,170,493,ok,34.9998712422878
997,168,168,168,168,30,ok,33.17370567899414
998,171,171,171,171,193,ok,38.36832377634492
999,169,168,169,167,550,ok,36.34023305740328
1000,162,165,166,162,1030,ok,30.30282654412716
1001,160,161,161,160,1291,ok,28.829120892303138
1002,159,159,159,159,700,ok,28.09344372780832
1003,155,159,156,153,1500,ok,25.31109544307512
1004,158,155,158,158,708,ok,30.84316426646677
1005,158,160,160,158,144,ok,30.84316426646677
1006,163,163,163,162,250,ok,39.50428713617141
1007,160,161,162,160,6613,ok,36.54679047564912
1008,162,160,162,160,506,ok,39.78339561898154
1009,159,159,159,159,717,ok,36.75489765436637
1010,156,156,159,156,800,ok,33.97002116724828
1011,150,153,153,150,1725,ok,29.204077620718465
1012,147,147,147,147,10,ok,27.152809034287912
1013,149,149,149,149,54,ok,30.64999675764382
1014,154,151,154,151,747,ok,38.5875597044068
1015,166,157,166,157,310,ok,52.6075019013264
1016,170,169,175,169,2607,ok,56.19717894950187
1017,169,170,170,168,647,ok,55.07408076278416
1018,171,171,171,171,500,ok,56.92809052116514
1019,172,171,172,172,218,ok,57.86439893247809
1020,173,175,175,173,510,ok,58.82824756486164
1021,187,175,187,175,2530,ok,69.38637896673741
1022,190,190,190,190,667,ok,71.09683165097819
1023,187,187,187,187,500,ok,67.06171843586799
1024,199,187,199,181,4829,ok,73.53257583512881
1025,194,202,201,194,1243,ok,67.57562010153156
1026,190,194,194,188,206,ok,63.16693510886891
1027,192,190,192,189,373,ok,64.41695473026877
1028,182,189,189,179,17323,ok,54.46417119046737
1029,170,179,179,167,2180,ok,45.39933797001988
1030,165,170,167,165,354,ok,42.24439539034619
1031,170,168,171,165,1864,ok,46.26579688988171
1032,169,170,170,169,217,ok,45.58221056983228
1033,167,167,167,167,200,ok,44.17636388294904
1034,173,170,173,170,479,ok,49.234782508790055
1035,176,173,176,175,427,ok,51.5965008011441
1036,173,176,173,173,116,ok,49.13479756436003
1037,167,170,170,167,955,ok,44.55614456865765
1038,168,165,168,164,1896,ok,45.46822187824081
1039,166,166,166,166,1260,ok,43.91233008337279
1040,166,169,169,166,820,ok,43.91233008337279
1041,167,164,167,164,45,ok,45.00363171011532
1042,164,166,166,164,1372,ok,42.34196108802335
1043,172,164,180,167,5575,ok,50.71321730329461
1044,175,175,181,175,1204,ok,53.44302155207999
1045,181,175,184,178,1677,ok,58.405020108103365
1046,178,178,178,178,64,ok,55.23514581886857
1047,181,175,181,175,472,ok,57.70711932581011
1048,182,181,184,181,242,ok,58.52919636384718
1049,170,181,181,170,989,ok,46.778632614097766
1050,171,168,171,168,269,ok,47.7205665667362
1051,166,174,177,166,2734,ok,43.56852259525305
1052,166,166,169,166,2340,ok,43.56852259525305
1053,170,169,170,168,6190,ok,47.78375338227248
1054,173,173,173,173,10,ok,50.75480208532266
1055,176,173,176,173,1000,ok,53.59811357683365
1056,170,173,173,170,1060,ok,47.66995303720312
1057,167,170,170,167,1211,ok,44.99050110995008
1058,168,165,168,165,494,ok,46.07849554770663
1059,162,165,165,162,800,ok,40.857037496537146
1060,163,161,163,160,783,ok,42.03596086474418
1061,167,165,168,165,3144,ok,46.6195862092719
1062,165,165,165,165,667,ok,44.71559822142997
1063,164,164,164,164,100,ok,43.75340491127183
1064,167,167,167,167,200,ok,47.40949246931464
1065,190,196,196,190,4749,ok,65.77643486903717
1066,166,164,166,163,1400,ok,47.23750866732738
1067,191,187,194,187,3433,ok,59.912256023380976
1068,167,166,167,166,2540,ok,47.9930289398049
1069,167,170,170,167,501,ok,47.9930289398049
1070,162,164,164,162,1118,ok,45.7918819634661
1071,160,160,160,160,10,ok,44.904710712220975
1072,169,160,169,160,1568,ok,49.63357937879274
1073,170,166,172,166,1046,ok,50.14560116760313
1074,172,170,173,170,1440,ok,51.21381667152212
1075,170,170,170,170,1190,ok,50.05871614007818
1076,179,173,182,173,2002,ok,54.97955988308731
1077,181,182,183,181,1967,ok,56.016705643627006
1078,190,184,199,184,12393,ok,60.43393653381773
1079,194,193,196,193,1360,ok,62.24860588830319
1080,190,196,196,190,4749,ok,59.31871736260821
1081,191,187,194,187,3433,ok,59.82778088978517
1082,192,192,192,192,20,ok,60.361944586537845
1083,188,195,195,188,2652,ok,57.091799989704754
1084,183,185,185,181,987,ok,53.21117830235576
1085,185,180,185,180,320,ok,54.54218667192143
1086,182,188,188,182,2849,ok,52.14592101783135
1087,185,185,188,185,6125,ok,54.30778949924432
1088,188,188,188,188,10,ok,56.42764391129867
1089,194,189,194,189,1253,ok,60.386102608391646
1090,192,196,196,191,2684,ok,58.47898137502667
1091,188,188,188,188,10,ok,54.754419777741866
1092,195,191,195,191,1400,ok,59.60332518853234
