date,open,high,low,adjclose,volume,RSI,adjclose_5,true_adjclose_5,buy_profit,sell_profit
2019-10-22,758.0,762.0,754,756.0,17493,53.84391302,707.8859,767.9999999999999,-48.11407470703125,0.0
2019-10-23,756.0,765.0,756,762.0,3122,59.23676748,706.8487,770.0,-55.15130615234375,0.0
2019-10-24,762.0,768.0,755,768.0,8808,65.31088163,709.19574,767.9999999999999,0.0,58.80426025390625
2019-10-31,768.0,768.0,753,761.0,6352,60.97590743,710.96075,755.0,0.0,50.03924560546875
2019-11-03,761.0,760.0,752,760.0,8041,60.31809351,711.35175,755.0,0.0,48.64825439453125
2019-11-04,760.0,780.0,762,768.0,25965,68.95234268,714.20276,753.0,0.0,53.7972412109375
2019-11-05,768.0,777.0,763,770.0,16182,71.32239659,717.55634,750.0,0.0,52.44366455078125
2019-11-06,770.0,774.0,765,768.0,13493,70.37691112,719.2909,750.0,0.0,48.7091064453125
2019-11-07,768.0,772.0,755,755.0,23312,63.01762954,716.9918,749.0,0.0,38.0081787109375
2019-11-10,755.0,763.0,753,755.0,10153,63.01762954,711.97235,755.0,0.0,0.0
2019-11-11,755.0,765.0,750,753.0,15505,61.75733965,705.96857,755.0,-47.03143310546875,0.0
2019-11-12,753.0,765.0,749,750.0,21447,59.85166009,699.8116,753.0,-50.18841552734375,0.0
2019-11-13,750.0,755.0,750,750.0,6681,59.85166009,693.9147,750.0,0.0,0.0
2019-11-14,750.0,754.0,749,749.0,3797,59.26829049,688.8522,739.9999999999999,0.0,60.1478271484375
2019-11-17,749.0,755.0,745,755.0,7383,64.4889854,686.7314,730.0,0.0,68.26861572265625
2019-11-18,755.0,756.0,750,755.0,23592,64.4889854,686.6764,727.0,0.0,68.3236083984375
2019-11-19,755.0,755.0,750,753.0,18207,63.56659439,686.9833,730.0,0.0,66.0167236328125
2019-11-20,753.0,760.0,750,750.0,29088,62.19898519,687.2159,732.0,0.0,62.78411865234375
2019-11-21,750.0,750.0,739,740.0,7681,57.22963938,684.9623,725.0,0.0,55.0377197265625
