,adjclose,open,high,low,volume,other,RSI,adjclose_5,true_adjclose_5,buy_profit,sell_profit
1517.0,229,217,235,215,86698,ok,81.59223140334979,209.90701,211.0,0.0,19.092987060546875
1518.0,220,230,230,218,24689,ok,70.46500601849911,212.8629,215.00000000000003,0.0,7.1371002197265625
1519.0,218,224,227,215,22045,ok,68.23792480247764,214.86314,215.00000000000003,0.0,3.1368560791015625
1520.0,217,214,218,212,15410,ok,67.09606108203394,215.79596,215.00000000000003,0.0,1.20404052734375
1521.0,215,227,227,211,8635,ok,64.76194201546181,216.40018,217.0,1.400177001953125,0.0
1522.0,211,217,217,211,14030,ok,60.24773584249508,216.0604,220.0,5.060394287109375,0.0
1523.0,215,210,217,210,6275,ok,63.02343726395429,215.62733,220.0,0.6273345947265625,0.0
1524.0,215,214,217,211,19432,ok,63.02343726395429,215.36116,219.0,0.3611602783203125,0.0
1525.0,215,219,219,213,8498,ok,63.023437263954285,215.35776,219.0,0.357757568359375,0.0
1526.0,217,215,219,214,9042,ok,64.56842620728335,215.70532,220.0,-1.294677734375,0.0
1527.0,220,214,221,214,6993,ok,66.80869006910383,216.5582,219.0,0.0,3.441802978515625
1528.0,220,222,225,218,9506,ok,66.80869006910383,217.84435,221.0,-2.1556549072265625,0.0
1529.0,219,219,223,218,6720,ok,65.2146400542972,218.98802,221.0,-0.0119781494140625,0.0
1530.0,219,229,229,217,17200,ok,65.2146400542972,220.27284,220.0,1.2728424072265625,0.0
1531.0,220,220,222,218,7710,ok,66.1512966393611,221.25659,226.0,1.256591796875,0.0
1532.0,219,220,221,217,15139,ok,64.28709713474527,221.76851,230.0,2.7685089111328125,0.0
1533.0,221,223,224,219,22224,ok,66.33072790623868,222.29675,225.0,1.2967529296875,0.0
1534.0,221,225,229,218,27975,ok,66.33072790623868,222.88152,224.0,1.8815155029296875,0.0
1535.0,220,226,226,219,29908,ok,64.20036235322607,223.09886,228.0,3.0988616943359375,0.0
1536.0,226,220,230,220,52737,ok,70.35293801366089,223.75087,249.0,-2.2491302490234375,0.0
1537.0,230,228,234,225,31850,ok,73.60923318937546,224.96979,264.0,-5.03021240234375,0.0
1538.0,225,227,230,225,25941,ok,64.12762591730036,225.3013,257.0,0.301300048828125,0.0
1539.0,224,229,230,223,24797,ok,62.396515826049686,225.06511,252.0,1.0651092529296875,0.0
1540.0,228,228,230,225,22975,ok,66.3137284535546,225.04495,250.0,-2.955047607421875,0.0
1541.0,249,232,250,229,112049,ok,78.79993000136264,227.46034,248.0,0.0,21.539657592773438
1542.0,264,261,266,256,57451,ok,83.50348519427325,232.17241,249.0,0.0,31.827590942382812
1543.0,257,264,269,244,29566,ok,75.12674602926288,236.92429,245.0,0.0,20.075714111328125
1544.0,252,253,259,250,15294,ok,69.74480537090201,240.43114,247.0,0.0,11.568862915039062
1545.0,250,260,260,241,33444,ok,67.65694531022623,243.048,243.0,0.0,6.951995849609375
1546.0,248,250,250,244,39627,ok,65.54391096928191,244.35228,235.0,0.0,3.6477203369140625
1547.0,249,252,257,246,32299,ok,66.11377603483157,245.1543,241.0,0.0,3.845703125
1548.0,245,246,258,242,27222,ok,61.71679972250496,245.16977,249.0,0.169769287109375,0.0
1549.0,247,245,250,244,16808,ok,63.040362527729314,244.83116,246.0,0.0,2.1688385009765625
1550.0,243,250,250,242,10728,ok,58.67140815221919,244.05344,240.0,0.0,-1.053436279296875
1551.0,235,239,241,235,9406,ok,51.05100752530607,242.00972,244.0,7.0097198486328125,0.0
1552.0,241,237,243,233,7042,ok,55.69847070356144,240.24765,245.0,-0.752349853515625,0.0
1553.0,249,245,258,245,25402,ok,61.01354529951392,240.14688,245.0,0.0,8.853118896484375
1554.0,246,250,255,244,15711,ok,58.19396451783129,240.59602,252.0,-5.4039764404296875,0.0
1555.0,240,249,249,235,3980,ok,52.92600892538629,240.54945,245.0,0.5494537353515625,0.0
1556.0,244,237,244,237,4142,ok,55.79872299422452,240.40567,225.0,0.0,3.594329833984375
1557.0,245,248,249,240,10900,ok,56.51320852563242,240.6408,232.0,0.0,4.3592071533203125
1558.0,245,249,249,240,6184,ok,56.51320852563242,241.06651,245.0,0.0,0.0
1559.0,252,243,252,240,15185,ok,61.55788482615857,242.2085,240.0,0.0,9.79150390625
1560.0,245,257,257,241,6185,ok,54.72161035291128,243.11105,240.0,0.0,1.888946533203125
1561.0,225,241,245,225,21207,ok,40.78510164722062,241.53918,236.0,16.5391845703125,0.0
